Number of hit	Text ID	Concordance line
11	L16_1224	". As not all teachers learned the tasks from participants , but from the experimenter , additional learners were required . Due to organisatory reasons five teachers explained the task to a ' knowing ' learner , who was already acquainted with the task but instructed to act as if <<< he/she >>> did not know the task . In this study , the focus is on the information transmitted by the teacher . Although we are aware that ' knowing ' learners react differently than naive learners , we argue that/IN for our research questions it is sufficient that/IN the teacher assumes"
12	W04_1607	"token . Examples of the output of the morphological analyzer are shown below where the left hand side represents the lower input string and the right hand side is the upper side output 1 : ‫ﻣﺴﺎﻓﺮﻳﻦ‬ ' travelers ' msâfryn msâfr+Noun+Pl ‫رﻓﺖ‬ ' he/she left ' rft rftn+Verb+Ind+Pret+3P+Sg ‫وﮐﻴﻠﺴﺖ‬ ' <<< he/she >>> is a lawyer ' vkylst vkyl+Noun&gt;bvdn+Verb+Ind+Pres+3P+Sg The rules are written as regular expressions and are represented as continuation paths within the lexc grammar . The morphological analyzer covers 1 Unless otherwise specified , the Persian examples are direct transliterations of the Persian script and do not include short vowels ,"
13	W10_1303	"relevance of utterances to the current situation , but it would also significantly aid the user in remember-ing where these messages are stored so that/IN they can be accessed . Essentially the user could direct the system to step through messages appropriate for each scene of a given script as <<< he/she >>> is actually experiencing the scene . The utterance-based system would have a "" "" now point "" "" which corresponds to the scene in which the user is currently located in the script . Utterances useful for the conversation during that scene are easily available using very few keystrokes ."
14	W12_1621	") in his/her image to the matcher , so that/IN the matcher would know which object has what name . As shown in Figure 1 , those secret names are displayed only on the director ' s screen but not the matcher ' s . Once the matcher believes that <<< he/she >>> correctly acquires the name of an target object , he/she will record the name by mouseclicking on the target and repeating the name . A task is considered complete when the matcher has recorded the names of all the target objects . Examples Consistent with previous findings ( Liu et"
15	E17_1026	"labelled as positive , negative , neutral or topic-related according to the context where it has been used . We provide an example for each label . Annotators The complete set of posts has been labelled by three different annotators . Each annotator is a very proficient English speaker and <<< he/she >>> has a different level of NLP background and topic knowledge from the others . We distinguish these two types of knowledge because they are equally important and necessary for annotating a dataset , especially in a movie domain . A topic expert can be very confident on understanding the meaning"
16	W19_7710	"central for S2 as well . Since Hungarian finite verbs have a way of marking not only the person and number of the subject but also the definiteness ( contextual recoverability ) of the object referent ( marked by DEF in the glosses ) , speaker B employs megvette ' <<< he/she >>> bought it ' without any dependents in her reduced answer in ( 1b ) . In this context , the verb is sufficient to convey the same message as the elaborate clause in ( 1a ) . I use the term clausal core to refer to a minimal unit in"
17	P83_1005	"a dog t otherwise unknown to our speaker and hls/her audience , just walked by the front porch , on which our protagonists are sitting . When the speaker utters the sentence he/she is exploiting a situation in which bo{h speaker and audience saw a lone dog stroll by ; <<< he/she >>> is not describing either that/IN particular recent situation or such a sltuation-type -there may have been many such ; the two of them often sit out on that porch , the neighborhood is full of dogs . Rather , the speaker is referring to a situation in which that dog"
18	2020_acl_main_72	"becomes favorable when the user prioritizes coverage than quickness , and +Fd(p ) becomes favorable when vice versa . As a possible use case of HB , the analyst may quickly find interesting perspectives by creating various dictionaries with one of the FWPS methods , and once finding those , <<< he/she >>> switches to a linear classifier to expand the promising dictionaries more . Conclusion To the best of our knowledge , this paper proposes the first formulation of interactive dictionary construction for text analytics , which clarifies the critical issues to resolve . In response to those issues , we provide"
19	2021_paclic_1_12	"a face threatening act , which would threaten readers ' negative face if they do not take the action as desired by the speaker . Therefore , since a reader ' s negative face may be threatened by the speaker ' s persuasion act , the reader would decide whether <<< he/she >>> accepts the speaker ' s viewpoints or not ( Taillard , 2002 ) . In order to let readers agree with speaker ' s suggestions to the largest scale , the speaker needs to be strategic while expressing his/her intentions on the statements . Hovland et al. ( 1953 )"
20	N06_3001	"the structural events to further improve the understanding of human communication . Some research results are summarized in this document and my future research plan is described . Introduction In human communication , ideas tend to unfold in a structured way . For example , for an individual speaker , <<< he/she >>> organizes his/her utterances into sentences . When a speaker makes errors in the dynamic speech production process , he/she may correct these errors using a speech repair scheme . A group of speakers in a meeting organize their utterances by following a floor control scheme . All these structures are"
21	W18_7106	"Sorani , Somali , Spanish and Tigrinya 5 . In the consent , we inform the learners about the project , and describe the management of personal information throughout the project , including the statement that/IN participation is entirely voluntary and the subject can opt out of continued involvement whenever <<< he/she >>> wants without the need to provide any explanation . Further , we state that/IN we will not disclose the person ' s name and we will remove personal information from the texts to guarantee anonymity . Since the agreement covers a period of a learner ' s involvement in the"
22	C92_2067	"handle a wide variety of types of text , it fails IX ) provide immediate help to adapt to the particular domain or field . ( 3 ) . It is not easy to achieve consistency and objectiveness . Even for the same person , it is very likely that/IN <<< he/she >>> would judge a translation result differently at different time , especially when the evaluation criteria are loosely defined . Based on the above problems with human inspection , some automatic approaches were proposed to eval-uate translation output quality . In [ Yu 91 ] , for example , a corpus"
23	P03_1033	"and Pan , 2000 ; Chu-Carroll , 2000 ; Lamel et al. , 1999 ) . Nevertheless , whether a particular response is cooperative or not depends on individual user ' s characteristics . For example , when a user says nothing , the appropriate response should be different whether <<< he/she >>> is not accustomed to using the spoken dialogue systems or he/she does not know much about the target domain . Unless we detect the cause of the silence , the system may fall into the same situation repeatedly . In order to adapt the system ' s behavior to individual"
24	J86_2002	"for a student under the attribute NATIONALITY is a member of the set ( U. K. U. S. A. Australia ... ) , he/she may be designated as coming from an English-speaking country . Finally , if the student has value U. K. , France , etc. for NATIONALITY , <<< he/she >>> may be considered to be from Europe . Distinguishing values correspond to key values that naturally divide the values in a domain into distinct classes . In this sense they are very similar to McCoy ' s ( 1982 ) "" "" very specific axioms "" "" , although how"
25	N19_4012	"the front-end design of our web application for creating a new post , where labels represent the sequence of actions . In this website , an author can first click on "" "" New Post "" "" ( step 1 ) to bring a new post view . Then , <<< he/she >>> can write content of an article in the corresponding text-area ( step 2 ) without specifying it ' s headline and highlights , i. e. , summary . By clicking "" "" NATS "" "" button ( step 3 ) and waiting for a few seconds , he/she will see"
26	C92_4182	"oka~sakf ' and "" "" atesakf ' for ' destination ' in Fig. 1 ) . In addition , there are particular phenomena of expression variations depending hi)on the particular dialogue . For exmnple , if a speaker is uttering his/her own address for tile concept ' address ' , <<< he/she >>> will use "" "" 3uusyo""""([my ] address ) , e. g. "" "" Juusyowa Oosaka-sht desu . "" "" ( My address is in Osaka~city . ) . On the other hand , if he/she is uttering tile other participant ' s address , he/she will use "" "" ."
27	W08_1407	"participant was asked to familiarize himor herself with the location of the image by analyzing the map and going through all 11 URLs . Then each participant decided on up to 5 different pieces of information he/she would like to know if he/she sees the image or information about something <<< he/she >>> relates with the image . The information we collected in this way is similar to ' information nuggets ' ( Voorhees , 2003 ) . Information nuggets are facts which help us assess automatic summaries by checking whether the summary contains the fact or not . In addition to this"
28	P84_1109	"the object of the underlying verb ( drive , transfer , detect , hold ) ; here too , a permanent connection is established . A truck driver is a person whose ( social ) function is to drive trucks , and that/IN person is still a truck driver when <<< he/she >>> drives a scooter . If you use an oil pump to pump your tomato juice , it still qualifies to be called an oil pump . But when the nouns are inverted , there is a change in meaning and , possibly , in acceptability . It is hard to"
29	W14_2710	"dynamics during the course of an interaction correlate with the power differences between its participants . We perform this study on the US presidential debates and show that/IN a candidate ' s power , modeled after their poll scores , affects how often he/she attempts to shift topics and whether <<< he/she >>> succeeds . We ensure the validity of topic shifts by confirming , through a simple but effective method , that/IN the turns that/IN shift topics provide substantive topical content to the interaction . Introduction Analyzing political speech has gathered great interest within the NLP community . Researchers have analyzed political"
30	L18_1044	"made : First , we decided to drop the Outcome from the PICO annotation task since it appeared to be too diverse to reach a reasonable inter-annotator agreement , i. e. only PIC was annotated . Second , we introduced a confidence selection where the annotator could state how confident <<< he/she >>> was , in his/her annotation . We offered three options : Low Confidence , Medium Confidence and High Confidence ( default ) . With the third prototype , we achieved acceptable agreements of around 45 % for the Intervention/Comparison , and 55 % for the Population , in a smallscale"
31	W00_1012	"ongoing dialogue . The tactic of enticement consists in increasing B ' s wish to do D ; the tactic of persuasion consists in increasing B ' s belief of the usefulness of D for him/her , and the tactic of threatening consists in increasing B ' s understanding that/IN <<< he/she >>> must do D. Communicative tactics are directly related to the reasoning process of the partner . IrA is applying the tactics of enticement he/she should be able to imagine the reasoning process in B that is triggered by the input parameter wish . If B refuses to do D ,"
32	Y15_1053	". Thus , it is necessary to select a subset of them , which is expected to include the news experts . Search for news experts will then be confined to this subset . There are two types of data that describe a user : his/her profile and the microblogs <<< he/she >>> posts . Profile information can be divided into three parts : ( i ) , Description : This part includes usernames and other descriptive data given by the users themselves . ( ii ) , Authority : Microblogging platforms provide verifications for some users , called verified accounts . Verification"
33	Y15_1007	"the experiment , so we collected 78 responses . Data Cleansing and Result Calculation We firstly checked the responses one by one and filtered out invalid ones . A response is considered invalid if 1 ) more than 15 words were skipped ( i. e. , the subject claimed that/IN <<< he/she >>> did n't know these words ) , or 2 ) less than three numbers of the 7-point rating scale were used . Only two invalid responses were identified , one was from a mainland subject , the other was from a Hong Kong subject . So there are a total"
34	Y15_1007	"for money . In order to ensure that/IN the participants are native Chinese speakers and to improve data quality , we use the following measures , ( 1 ) a participant must correctly answer the first two Chinese character identification questions in the section 2s of the questionnaires , and <<< he/she >>> must correctly answer at least one of the last two questions in these section 2s ; ( 2 ) If a participant do not satisfy the above conditions , he/she will not see Section 3s ; ( 3 ) each word stimulus in section 3s has an option which allows"
35	L18_1535	and POS to help with this task . • Scan the various AUTO entries provided for all regions . This might help him remember words that are possible candidates to add for the cities he/she is responsible for . • Delete all entries that are NOT relevant to the cities <<< he/she >>> is responsible for . • Apply the necessary changes for some entries that may need some minor fixes . • Add new words that are not on the AUTO list . • Think of more than one translation into his/her dialect and carefully specify the city . • Use external
36	2000_amta_workshop_3	"a synonymous counterpart to each phrasal verb . To do this , the learner should use not the original list of the illustrative sentences but its copy in which all the phrasal verbs are substituted with blanks . If the learner does not know the meaning of a synonym , <<< he/she >>> can ask the MT program for help as all the verbs of the list of synonyms are stored in the electronic dictionary . If the learner can guess the meaning of the phrasal verb after he/she has analyzed the translation of the illustrative sentences performed by the program , he/she"
37	C96_2156	"ferring his/her iut , entio , to the a. pplica . tioa system . For example , in . t+ piet+tu'e &lt;]ra+ ' , ving tool , if a. user is a. llowed t&lt; ) point a.1 . a. si&gt;e eific ol&gt;jeet while sa , ying %Jelete "" "" , <<< he/she >>> ca . tl sa . ve ht . bor , be( : a. use he/she does , of ha : . +'e Io cha , llge , t. hc IHouse positiotl frol~l the CIILIIVIhS to it . lllellll item a. t t. he lllellt£ |)ill ' a. rea . ,"
38	W16_6617	"from our pattern generation work . Both opinions are informative generation results . The blogger _( author ' s name)_ came to _(traveling places)_ for traveling , where he/ she experienced __(place1)_ , _(place2)_ , _(place3)_ , and _(place4)_ . About _(evaluator 1)_ , _(name of the author)_ like because <<< he/she >>> thinks that/IN it is _(evaluative pattern 1)_ , particularly _(part of evaluator 1)_ is worth trying . In addition , he/ she also went to _(evaluator 2)_ , and he/she recommended it because of_(evaluative pattern 2)_ . Among that , _(part of evaluator 2 )_ is the most recommended one"
39	H94_1037	"explore all these dimensions freely and run the risk of confusion , a more productive solution may be for the system to take control of the dialogue by offering explicit choices . Of course , the user should still be free to diverge from the computer ' s goal whenever <<< he/she >>> so chooses . Until very recently , the system ' s knowledge has been limited to fewer than sixty major cities in North America , Europe , and Japan . We have just expanded PEGASUS'S knowledge base to more than 220 major cities worldwide . Nevertheless , it is still"
40	2022_acl_long_132	"al. , 2019 ; Dinan et al. , 2020a ; Webster et al. , 2020 ; Barikeri et al. , 2021 ) is a databased debiasing strategy often used to mitigate gender bias . Roughly , CDA involves re-balancing a corpus by swapping bias attribute words ( e. g. , <<< he/she >>> ) in a dataset . For example , to help mitigate gender bias , the sentence "" "" the doctor went to the room and he grabbed the syringe "" "" could be augmented to "" "" the doctor went to the room and she grabbed the syringe "" """
41	2000_amta_workshop_3	supposed to extend the electronic dictionary by adding to it the phrasal verbs having idiomatic meanings that were absent in the initial dictionary . The last stage of the lesson is meant to stimulate the learner ' s creativity . The learner must create as much sentences using phrasal verbs <<< he/she >>> has learned at the lesson as possible . Another task is to make them up in such a way that/IN the program could translate them in the best way . These lessons have been used for several years at Kharkov Teachers ' Training University and proven to be rather efficient
42	W16_3601	"judiciously select the question , given the context of the game , in order to narrow down the range of valid people . There are 31 questions . Table 1 shows a summary . Attribute Q a Example Question Birthday 3 Was he/she born before 1950 ? Birthplace 9 Was <<< he/she >>> born in USA ? Degree 4 Does he/she have a PhD ? Gender 2 Is this person male ? Profession 8 Is he/she an artist ? Nationality 5 Is he/she a citizen of an Asian country ? Table 1 : Summary of the available questions . Q a is the"
43	C92_2110	"semantic cnncept , the procedures which fill the slots , the relations between the new semantic concept with existing other sentantic coucepts~ various constraiuts anlong concepts , etc. lIowever , relnember that/IN he/she must carry out such eoml)licated tasks to all possible linguistic patterns in his/her target domain , if <<< he/she >>> uses the case-based parsing approach alone . Dialogue Example between PDI and an Application Designer PDI ( Pattern Definition interviewer ) is CAPIT ' s interface to all application designer . A dialogue between PDI and an application designer progresses as follows : 1 . PDI shows the application designer"
44	2022_udfestbr_1_6	"above the one clicked ; -Delete the clicked row . It is important to note that/IN if the user removes or adds a row , the ids and the head field values from each row are automatically adjusted . When the user finished the editing on the CoNLL-U file , <<< he/she >>> just have to press the button labeled "" "" Save changes "" "" ( at the bottom right ) to save their changes . Then , he/she can go back to the results page by clicking on the button labeled "" "" Go back "" "" ( also at the"
45	2021_konvens_1_20	"( 1 ) most explicitly states that/IN the writer is in favor of it and the positive evaluation in ( 2 ) immediately gives rise to a pro relation of the writer towards liberalization . ( 3 ) expresses the need to have liberalization . This again points out that/IN <<< he/she >>> is in favor of liberalization . In ( 4 ) , prevent casts a con relation between its logical subject ( it ) and the theme role ( solution ) . A contra relation towards a positively connotated theme indicates a negative subject and suggests that/IN the writer stands in"
46	2020_findings_emnlp_224	"knowledge can lead to explainable dialogue understanding . It will help models to understand , reason , and explain events and situations . In this particular example , commonsense inference is applied to a sequence of utterances in a twoparty conversation . Person A ' s first utterance indicates that/IN <<< he/she >>> is tired of arguing with person B. The tone of the utterance also implies that/IN person B is getting yelled at by person A , which invokes a reaction of irritation in person B. Person B then asks what he/she can do to help and says this while being angry"
47	W94_0326	"choice among alternatives should prefereably be interest-based . For instance , the choice between alternatives 4 ) and 5 ) in section I may be made in favor of text 4 ) if the user wants to vary the relative significance of constraints in defning problem specifications ( therefore , <<< he/she >>> wants to know which ones prove relevant for the aspect in question ) . Alternative 5 ) is preferable for a user who wants to learn the rationale behind system decisions , which particularly includes associating justifications with constraints . 4 , CONCLUSION A mechanism assessing the comprehension effort of"
48	W15_0605	in a total of 874 responses in Train and 672 responses in Eval data sets . Features We explore five different feature sets to help us answer the following questions about the response : Did the test taker construct a story about the pictures in the prompt ( or did <<< he/she >>> produce an irrelevant response instead ? ) ( Relevance ) ; Did the test taker use words appropriately in the response ? Proper usage of words and phrases is characterized by the probabilities of the contexts in which they are used ( Collocation ) ; Did the test taker adequately
49	L16_1623	"questions annotated by the authors ) . This Stance Dataset , which was subsequently also annotated for sentiment , can be used to better understand the relationship between stance , sentiment , entity relationships , and textual inference . We can often detect from a person ' s utterances whether <<< he/she >>> is in favor of or against a given target entity ( a product , topic , another person , etc. ) . Here for the first time we present a dataset of tweets annotated for whether the tweeter is in favor of or against pre-chosen targets of interest-their stance ."
50	W12_3501	"reminder . The interface can be controlled by mouse and keyboard as well as via speech commands following a structured dialogue . By this , the used is free to chose if he/she wants to use mouse and keyboard as a fast way to enter an appointment or speech if <<< he/she >>> is not close enough to the robot ' s touch display and is either not willing or not capable to reach it . Speech Recognition Creating an automatic speech recognition ( ASR ) device requires different processing steps . Figure 5 illustrates exemplary the structure of such a system ."
51	2020_wnut_1_76	"is to develop systems that can automatically extract related events from tweets . The built system should identify different pre-defined slots for each event , in order to answer important questions ( e. g. , Who is tested positive ? What is the age of the person ? Where is <<< he/she >>> ? ) . To tackle these challenges , we propose the Joint Event Multitask Learning ( JOELIN ) model . Through a unified global learning framework , we make use of all the training data across different events to learn and fine-tune the language model . Moreover , we implement"
52	W17_5051	"( 2016 ) , grammatical errors/corrections get an extra mark to be excluded from orthographic analyses but in the target hypothesis , only the grammatically correct form is given and spelling errors within the erroneous form are not considered . For instance , *&lt;Dretet&gt; is corrected to &lt;tritt&gt; ' ( <<< he/she >>> ) kicks ' while an orthographically correct ( but grammatically incorrect form ) would be &lt;tretet&gt; . Furthermore , one cannot see how ambiguous cases are handled , e. g. *&lt;er schlaft&gt; is treated as an orthography error and cor-rected to &lt;er schläft&gt; ' he sleeps ' , although the"
53	P18_1056	"social power . In particular , the effect of social power cannot be reliably detected by linear models once introducing utterance length . Another interesting piece of result is the significant interaction term C power * C pLen , which implies that/IN the power status of speaker and how long <<< he/she >>> tends to speak are not totally unrelated . Significant but weak correlation are found between C power and C pLen ( using Pearson ' s correlation score ) : r = −0.059 in SC ; r = −0.018 in Wiki . This correlation may show some kind of a linguistic"
54	P06_2099	". The system displays a cooking recipe in a browser . As in a typical recipe , cooking instructions are displayed step by step , and sentences or phrases representing a cooking action in the recipe are highlighted . When a user does not understand a certain cooking action , <<< he/she >>> can click the highlighted sentence/phrase . Then the system will show the corresponding animation to help the user understand the cooking instruction . Note that/IN the system does not show all procedures in a recipe like a movie , but generates an animation of a single action on demand ."
55	N19_1378	"the ' gender ' and ' job ' columns of Table 4 show that/IN results are a bit better in this case but models still perform quite poorly : Even in the case of an attribute like gender , which is crucial for the resolution of third person pronouns ( <<< he/she >>> ) , the models ' results are quite close to that of a random baseline . Thus , we take it to be a robust result that/IN entitycentric models trained on the SemEval data do not learn or use entity information-at least as recoverable from language cues . This ,"
56	2020_lrec_1_701	"is to determine the contextual meaning of the sentences , especially the core constructions of them . In a given context , the first sentence is an ordinary "" "" special question "" "" . The speaker tries to draw listeners ' attention to let them imagine the situation when <<< he/she >>> cannot take care of "" "" her(the people who may be mentioned in the context ) "" "" and consider the accompanying consequence . The second sentence contains a construction "" "" _ ( wait ) + X(replaceable event ) + noun/pronoun + _ ( should be ) + _"
57	P18_1036	"word ( consisting of many morphemes ) has usually more than one . For instance two possible analyses for the Turkish word "" "" dolar "" "" are ( 1 ) "" "" dol+Verb+Positive+Aorist+3sg "" "" ( it fills ) , ( 2 ) "" "" dola+Verb+Positive+Aorist+3sg "" "" ( <<< he/she >>> wraps ) . For a syntactic task , models are not obliged to learn the difference between the two ; whereas for a semantic task like SRL , they are . We will refer to this issue as contextual ambiguity . Another important linguistic issue for agglutinative languages is the"
58	2022_udfestbr_1_6	"universal dependency-based treebanks . It is written with Python and Javascript . However , the app is supposed to only run locally and to be accessible with a web browser through localhost . That could be a problem , because , in order for the user to use Interrogatório , <<< he/she >>> must install it first , which can be confusing if they are less experienced . UDConcord does not suffer from this , because it is a web application accessible through the web . To make queries with Interrogatório , the user must learn a query language that is similar to"
59	I13_1042	"that/IN such endorsements as well as the funds raised through campaigns positively affect the Power Index of the candidate . However , a more important source of a candidate ' s power is their relative standing in recent poll scores . It gives the candidate a sense of how successful <<< he/she >>> is in convincing the electorate of his/her candidature . In this study , we model the Power Index of each candidate based solely on their recent state or national poll standings because we think that/IN this is the most dominant factor . Other components such as the funds raised can"
60	2020_acl_main_567	"the performance , we investigated some dialogue examples and shown them in Table 4 . In the first dialogue , by asking "" "" Could you also find me a hotel with a moderate price that offers internet ? "" "" , the user has briefly informed the agent that/IN <<< he/she >>> is looking for a hotel "" "" with internet "" "" . The previous model missed the "" "" hotel-internet "" "" in the tracked slots . Because the model is mislead by the long interaction history . Our model learns to focus on important information using the slot attention"
61	2020_lrec_1_108	"tailored to the material but also to the technical solutions of the infrastructure . An example of a technique that is implemented in Karp is the ability to access the source document , and the possibility of viewing it in the interface . When a user performs an entry search <<< he/she >>> will be presented with a link to the facsimile , given it is available , as a part of the search results . The user can further click the link and access the facsimile which is enlarged at the center of the page . This functionality has been proven useful"
62	C98_2158	"even though the number is small . For example , there is a test sentence such as follows : ( 19 ) ano hito-wa 82sai-ni natte , annani koukisin ippai-da . that person-TOP 82-years-old-DAT become-te , so curiosity bc-fidl-PRES "" "" Although that person is 82 years old , ( <<< he/she >>> ) is full of curiosity . "" "" Since the combination of the event type here is I(BECOME , BE ) , our program gave it the Circumstance relation as a default . However , we know that/IN in general the person who is 82 years old is not so"
63	W13_2115	"deleted from the action space . Ordering In order to find out in which order the lecturers describe the factors , we transformed the feedback summaries into n-grams of factors . For instance , a summary that/IN talks about the student ' s performance , the number of lectures that/IN <<< he/she >>> attended , potential health problems and revision done can be translated into the following ngram : start , marks , lectures attended , health issues , revision , end . We used the constructed n-grams to compute the bigram frequency of the tokens in order to identify which factor is"
64	P15_2107	"annotations from an expert annotator . 50 emails were randomly selected from AllAgreed emails for each level . The annotator was required to check the background of each recipient ( e. g. the recipient ' s position in the company at the time , his/her department information and the projects <<< he/she >>> was involved in if these information were available online ) and judge the relationship between the email ' s contacts before annotation ( e. g. if the contact is a family member or a close friend of the recipient ) . Agreement study shows a Kappa score of 0.7970 for"
65	R11_1106	"texts as candidate titles . An original approach combining statistical criteria and noun phrases positions in the text helps collecting relevant titles and subtitles . So , the user may benefit from an outline of all the subjects evoked in a mass of documents , and easily find the information <<< he/she >>> is looking for . An evaluation on real data shows that/IN the solutions given by this automatic titling approach are relevant . "" This paper describes a system facilitating information retrieval in a set of textual documents by tackling the automatic titling and subtitling issue . Automatic titling here consists"
66	C92_2110	"of KBP ' s interpretation failures . We regard defining pattern-concept pairs for CBP as repairs of KBP ' s interpretation failures . We defined four repair types which are corresponding to KBP ' s typical interpretation failures . When all application designer encounters KBP ' s interpretation failure , <<< he/she >>> analyzes it , then selects the best and easiest repair type . Such a repair task is accomplished interactively between the application designer and the Pattern Definition Interviewer module ( PDI ) . CAPIT Flow We have been collecting Japanese corpora which untrained users typed from computer terminals in order"
67	W11_3412	"rule includes information from Urdu WordNet and inserts the hypernym of the verb kHA ' eat ' , namely that/IN it is a verb of consumption . The resulting semantic representation is presented in a less formal way in Figure 9 . The Agent of the sentence , vuh ' <<< he/she >>> ' performs a consumptive action , kHA ' eat ' towards the Patient , sEb ' apple ' and this act is performed at the location t3ul AbEb ' Tel Aviv ' . Discussion As for every computational grammar or semantic or analyzer , one wishes to have a thorough"
68	W19_0505	"terms of the atoms but differing in generality . An example of a text where this is necessary is : Bill does not own a vehicle . If Bill does not own a vehicle then he does not own a car . If someone does not own a car then <<< he/she >>> owns a motorcycle . If someone owns a motorcycle then he/she owns a vehicle . ACERules is unable to relate the group of atoms for "" "" Bill owns a vehicle "" "" and the more general ( because of the use of an indefinite pronoun ) "" "" he/she"
69	R13_1065	"the fifth chapter . The following chapter focuses on specific linguistic data analysis . At the end , we discuss the obtained results from the cross-tabulation analysis and association rules . Request as a Speech Act A request is a speech act whereby a requester conveys to a requestee that/IN <<< he/she >>> wants the requestee to perform an act which is for the benefit of the requester ( Trosborg , 1995 ) . The act may be a request for an object , an action or some kind of service , etc. a request for non-verbal items or services . Or it"
70	W07_2458	"the false start does not have a verb . The utterance with the false start has dictated the analysis of the entire utterance , though the real subject is the word ' seda ' . False starts Original utterance kui kui+0 //_J_// @J # if ta tema+0 //_P_// @SUBJ # <<< he/she >>> seda see+da //_P_// @ADVL @NN&gt; # this / sg part seda see+da //_P_// @PRD @ADVL # this / sg part tükina tükk+na //_S_// @ADVL # as a single piece siin siin+0 //_D_// @ADVL # here ei ei+0 //_V_// @NEG # not ole ole+0 //_V_// @+FMV # is Example 3 ."
71	O13_3001	"levels as discrete classes , we think readability is continuous . That is , an article that is suitable for students of a certain level must also be comprehensible for students of higher levels . Similarly , if a student can understand an article of a certain reading level , <<< he/she >>> must also be able to understand any article of a lower reading level . Therefore , when building classifiers for lower grade , we use articles of grades 1 and 2 as positive data , while the others are negative data . When building classifiers for middle grade , articles"
