
Number of hit	Text ID	Concordance line
41	4074163	play better next time ? " This question helps children shift from focusing on the problem to focusing on a solution . When kids create a plan for success , their confidence builds and anxiety lessens . * " What would you say to your best friend who told you <<< he/she >>> was thinking this way ? " themselves . When kids practise treating themselves the way they would treat their best friend , they start to focus on their strengths , not just their weaknesses . As a parent , you can lay the foundation for happiness , resilience and success
42	5011548	now included in the court record . When someone disliked one of the videos , Gariepy posted a link to it , ordering his fans " to find the person who disliked the video and make his/her life more burdensome by reminding him politely how terrible of a human being <<< he/she >>> is , " court records note . Gariepy told The Daily Beast he was joking . " I do dark humor , and , yes , some of that dark humor was brought into the custody trial , as if the fact that/IN I do jokes on the public space
43	2040096	at risk for developing new problems as they age , I recommend that/IN they are seen at least once a year by a physician knowledgeable in treating polio patients . This allows the patient to report any new problems , and allows the doctor to learn about the patient so <<< he/she >>> will be better able to recognize subtle changes and make appropriate recommendations . Regular follow-up also allows your doctor to keep you informed of any new medications or other treatments designed to help people with post-polio . Diagnosing the Late Effects Of Polio Diagnosis of the late effects of polio
44	2005546	know more about the person . Also , you should meet strangers with a friend . And if the person lives in a different city , if possible , have someone you know there go by and meet the person just in case he/she is not being truthful about who <<< he/she >>> is or what he/she does . Mike McQuerry , a senior legislative aide for Congresswoman Eddie Bernice Johnson , said he has not found Mrs. McQuerry on the Internet , but he believes that/IN Blacks can find love through that avenue . " Actually the pressure is not as great
45	2011852	Personality changes Is there hope for people who are HIV positive ? In the U.S. an estimated 800,000 to 900,000 people are living with HIV . One-quarter of them do n't even know it . Testing " antibody positive " does not mean that one has AIDS , only that <<< he/she >>> has been exposed to the HIV virus . Being HIV positive docs not even mean that/IN one will develop AIDS . It is a warning , not a sentence . Research shows that/IN at least five percent of people diagnosed HIV positive never develop full-blown AIDS . Most infected people
46	2024213	have the positive qualities of caretakers of their family of origin . On the unconscious level , they choose partners who have the caretakers ' negative qualities . The power of romantic love that leads two people to make a permanent commitment to each other comes about because each believes <<< he/she >>> has found the one destined to be the fulfillment of all his/her dreams . Dr. Hendrix believes that/IN this results from a perceived match of the person of choice with an image imprinted from childhood . The first stage of marriage is thus a period of living with the imaged
47	2022890	: " Oh , really . Hmm , and what did he/she do ? " The wrong answers include drug dealer , rock musician , ballet dancer ( for guys ) , topless dancer ( for girls ) , etc. , and can freeze the questioner 's belly . Yet <<< he/she >>> goes on to say something like " Sure , but not all dancers are gay/sluts , right ? " or " Did he/she live the rock " n " roll lifestyle ? " This is a tougher question than it seems . At that moment , the questioner hopes with
48	2026669	relationship , it 's best to confront it and to exit . Step 2 ( which begins with Step 1 and continues with Step 3 ) : End The Affair . Today . Right now . Forever . The offending partner must tell himself/herseslf first and must tell the person <<< he/she >>> was involved with that/IN it 's over , forever , that his/her partner comes first and that/IN they can not and must not see each other romantically again . This may require major adjustments . It may mean changing jobs if you were involved with a coworker , or even
49	2041495	the troops are doing a magnificent job but their mission : We have very little time left . This President will have the remainder of his months in office beleaguered by his political opponents .... 0ur next President will only have 12 months or less to get Iraq straight before <<< he/she >>> is forced to pull the plug . Therefore our planning horizons should assume that/IN there are less than 36 months remaining of substantial US troop presence in Iraq . The insurgency will continue in some form for a decade . This suggests the fundamental dilemma facing US policymakers . NOTHING
50	2008759	goldenrod , thorny stems nipping at my forearms . Of course , communing with your god is not something you can plan or schedule ( church revivals excepted ) . The best you can do is set aside some time , open yourself up to divine intervention , and hope <<< he/she >>> makes the call . Or , you can ride Tsali , a series of impossibly skinny singletrack loops perched in the forests of North Carolina 's Smoky Mountains , a place where the spirit always moves and even the most stiff-necked skeptics emerge glossy-eyed believers . This is the real
51	2010885	correct answer ) . Combine your scores to Sidebar come up with subtotals for each section as well as one grand total . If you 've been married for less than three years , I Sidebar 1 . What color is your spouse 's toothbrush ? 2 . What does <<< he/she >>> wear to bed ? 3 . What size underwear does he/she wear ? 4 . What 's his/her favorite dessert ? Part I score Sidebar PART II 1 . What 's his/her dream vacation ? 2 . What 's his/her ideal way to spend an evening ? Sidebar 3 .
52	4176822	Latin America suggests that/IN there has been a significant shift towards enhanced disclosure in communication preferences and practices regarding cancer diagnosis and prognosis . " Yet , other recent research suggests a substantial percentage of Latinos with advanced cancer in Houston would not want their doctor to tell them if <<< he/she >>> knew how long they had to live , " she said . " Findings such as these made me realize this important topic required its own study . " Previous investigations have examined treatment and decision making preferences of older Latinos with advanced cancers , as well as how patients
53	2036117	up to the brain . We were also instructed not to worry if we break a rib performing CPR , as broken ribs can mend , but straight brain waves can not . What would you do if your spouse tossed and turned at four in the morning ? If <<< he/she >>> said his/her heart were beating rapidly ? Maybe there was heartburn ? Maybe the previous night 's dinner was blamed ? If this should happen in our home , I would go for the AED right then , just in case . If his heartbeat was fluttering , I would
54	2040112	there 's some place in the " How to Handle PWD 's Who Want to Get On With Their Lives " text book that says , " . . . make the patient understand that/IN you know what 's good for him/her and he/she does n't know diddly about what <<< he/she >>> needs . " Whatever . The fact remains that/IN you 'd better take the time to find out what 's around that may help you get around , do your job , play a sport -- whatever turns you on -- and then find out how to go about getting
55	2010885	7 . Which of her/his physical attributes would s/he change if s/he could ? Part II score Sidebar PART III Sidebar 1 . How many exes did he/she have before you met ? 2 . What 's his/her blood type ? 3 . About how many pairs of shoes does <<< he/she >>> have ? Part III score Sidebar PART IV Sidebar 1 . How long did you know each other before your first kiss ? 2 . What did you give each other for your most his/her childhood pet ? 4 . What was his/her worst summer job ? 5 . What
