Index,Text ID,original-text,gold-text,
46,5084293,"Some testing entities posited that/IN the preamble language would require them to accept a brief letter from a doctor or even a doctor 's note on a prescription pad indicating ""I've been treating (student) for ADHD and <<< he/she >>> is entitled to extend time on the ACT.""","Some testing entities posited that the preamble language would require them to accept a brief letter from a doctor or even a doctor's note on a prescription pad indicating ""I've been treating (student) for ADHD and they are entitled to extend time on the ACT.""",
47,2021_acl_long_343,"In the first scenario , only one worker can access the provided knowledge collections , and <<< he/she >>> is responsible for introducing the movie to the other worker ; while in the second scenario , both workers know the knowledge and they are asked to discuss the content .","In the first scenario, only one worker can access the provided knowledge collections, and they are responsible for introducing the movie to the other worker; while in the second scenario, both workers know the knowledge and they are asked to discuss the content.",
48,5099085,Can't <<< he/she >>> realise that's what makes me lose my temper?,Can't they realize that's what makes me lose my temper?,
49,5132782,"For fiftycaltx to be so angry about this , <<< he/she >>> has likely had an extremely personal encounter with the abortion, perhaps the of a victim.","For fiftycaltx to be so angry about this, they have likely had an extremely personal encounter with the abortion, perhaps that of a victim.",
50,5250420,Even his/her touch had changed from strong to delicate as if <<< he/she >>> was touching something extremely fragile.,Even their touch had changed from strong to delicate as if they were touching something extremely fragile.,
51,W18_1304,"It introduces a top con- text ( or possible world ) which represents whatever the author of the sentence takes the described world to be like ; in other words , whatever <<< he/she >>> commits to be the "" "" true "" "" world .","It introduces a top context (or possible world) which represents whatever the author of the sentence takes the described world to be like, in other words, whatever they commit to be the ""true"" world.",
52,5258671,"That may be true, in fact, but it 's better to claim too little than too much; otherwise, our readers are going to be left with that feeling of ""Who 's <<< he/she >>> kidding?""","That may be true, in fact, but it's better to claim too little than too much; otherwise, our readers are going to be left with that feeling of ""Who're they kidding?""",
53,2016521,"Likewise, the deck is stacked heavily toward pathos when the odd couple arrives on the doorstep of Fionnula Flanagan and Burt Young as the cartoony, disapproving old parents Stanley/Bree thought <<< he/she >>> 'd never see again.","Likewise, the deck is stacked heavily toward pathos when the odd couple arrives on the doorstep of Fionnula Flanagan and Burt Young as the cartoony, disapproving old parents Stanley/Bree thought they'd never see again.",
54,W03_2128,"The fourth possibility is that/IN the answerer refuses to answer but <<< he/she >>> proposes another way to the partner to get the needed information ( per email , fax , to go to the office , etc. ) . ","The fourth possibility is that the answerer refuses to answer but they propose another way to the partner to get the needed information (per email, fax, to go to the office, etc.).",
55,5124908,This signifies that/IN <<< he/she >>> has fallen into a world of poverty and can not rise out of it.,This signifies that they have fallen into a world of poverty and cannot rise out of it.,
56,5086139,"The impatient reader may, at first, not ""connect"" with the story, but the faithful reader will soon find that <<< he/she >>> can not put it down.","The impatient reader may, at first, not ""connect"" with the story, but the faithful reader will soon find that they cannot put it down.",
57,2017_mtsummit_commercial_13,"When compared to their actual productivity times , we note that/IN apart from ES1 regarding TD ( where <<< he/she >>> is least productive ) , the other participants perceive it differently from the actual numbers . ","When compared to their actual productivity times, we note that apart from ES1 regarding TD (where they are least productive), the other participants perceive it differently from the actual numbers.",
58,5120890,"They believe that being taken off Death is typically declared by checking to see if the patient has a pulse, if <<< he/she >>> 's breathing and if there are brain functions.","They believe that being taken off Death is typically declared by checking to see if the patient has a pulse, if they're breathing and if there are brain functions.",
59,N18_1186,The response from MULTI is contradicting the context of speaker B as <<< he/she >>> said Not at all in a former sentence .,The response from MULTI is contradicting the context of speaker B as they said Not at all in a former sentence.,
60,5036558,"He/she is there to inspire you and if <<< he/she >>> does n't do that, you 'll be wasting your time.","They are there to inspire you and if they don't do that, you'll be wasting your time.",
61,4009166," In addition , the data analyst has learned <<< he/she >>> must choose among recommendations concerning the use of rotations to achieve simple structure , - varimax , oblique , promax , etc .","In addition, the data analyst has learned they must choose among recommendations concerning the use of rotations to achieve simple structure, - varimax, oblique, promax, etc.",
62,5099085,"No, it's not always conscious, and like I said the abuser may feel his/her actions are justified or excusable, or, as you said, <<< he/she >>> may minimize it.","No, it's not always conscious, and like I said, the abuser may feel their actions are justified or excusable, or, as you said, they may minimize it.",
63,C92_2067,"Even for the same person , it is very likely that/IN <<< he/she >>> would judge a translation result differently at different time , especially when the evaluation criteria are loosely defined .","Even for the same person, it is very likely that they would judge a translation result differently at different time, especially when the evaluation criteria are loosely defined.",
64,5199458,"However, by getting upset we are unwittingly reinforcing the offender, so <<< he/she >>> continues with the verbal attack and the hostilities escalate.","However, by getting upset we are unwittingly reinforcing the offender, so they continue with the verbal attack and the hostilities escalate.",
65,5257072,As soon as the recruiter reads the year of birth <<< he/she >>> can throw our resume away without reading more! ,As soon as the recruiter reads the year of birth they can throw our resume away without reading more!,
66,W10_4116,"Unlike existing approaches , we view sentiment classification as a generative problem that/IN when an author writes a review document , <<< he/she >>> first decides on the overall sentiment or polarity ( positive , negative , or neutral ) of a document , then for each sentiment , decides on the words to be used .","Unlike existing approaches, we view sentiment classification as a generative problem that when an author writes a review document, they first decide on the overall sentiment or polarity (positive, negative, or neutral) of a document, then for each sentiment, decide on the words to be used.",
67,2022_naacl_main_69,The Bayesian confidentiality measures how much information an attacker could gain if <<< he/she >>> ' s prior knowledge about this secret x is described by the distribution µ .,The Bayesian confidentiality measures how much information an attacker could gain if their prior knowledge about this secret x is described by the distribution µ .,
68,C04_1182,Repetitions ( REP ) occur when the child realizes <<< he/she >>> has made a mistake and self corrects him/herself usually by repeating the misread word or by beginning the sentence over again .,Repetitions (REP) occur when the child realizes they have made a mistake and self corrects themself usually by repeating the misread word or by beginning the sentence over again.,
69,4004888,"Plato held that/IN if a developing child is taught what is good and right , <<< he/she >>> will readily respond .","Plato held that if a developing child is taught what is good and right, they will readily respond .",
70,5046016,"It is from the character's viewpoint ( <<< he/she >>> is telling us what happened) using words such as ""I,"" ""me,"" and ""my.""","It is from the character's viewpoint (they are telling us what happened) using words such as ""I,"" ""me,"" and ""my.""",
71,5069410,"That well may be, but how could he not support a child of his if <<< he/she >>> happened to be gay?","That well may be, but how could he not support a child of his if they happened to be gay?",
72,3067904,"When the writer seeks to blame airline management and pilots for the noise problem at DIA , <<< he/she >>> demonstrates a profound ignorance of historical facts regarding the politics of DIA , and how the air traffic system really works.","When the writer seeks to blame airline management and pilots for the noise problem at DIA , they demonstrate a profound ignorance of historical facts regarding the politics of DIA and how the air traffic system really works.",
73,5096541,"That being said , no matter what ANY candidate WANTS to do if <<< he/she >>> is elected/stays in office , do you think realistically everything is going to turn around and everything will be fixed?","That being said, no matter what ANY candidate WANTS to do if they are elected/stay in office, do you think realistically everything is going to turn around and everything will be fixed?",
74,5081523,"Each volunteer knows that <<< he/she >>> will not be able to give what the Sisters can give, but it does not matter to the Sisters.","Each volunteer knows that they will not be able to give what the Sisters can give, but it does not matter to the Sisters.",
75,4119214,The philosophy adopted by the administrator is explained by the management theories which <<< he/she >>> implements .,The philosophy adopted by the administrator is explained by the management theories which they implement.,
76,5163292,Did <<< he/she >>> not get paid?,Did they not get paid?,
77,W16_3646,"In addition , n-ary questions are sometimes easy to understand because the user does not know the list of food groups in advance and <<< he/she >>> may not understand what shushoku really means .","In addition, n-ary questions are sometimes easy to understand because the user does not know the list of food groups in advance and they may not understand what shushoku really means.",
78,O12_1007,"Words that/IN frequency occurred in one ' s Facebook data revealed the things or issues <<< he/she >>> paid closer attention , the words he/she got accustomed to use but was unaware of , or his/her daily-life surroundings .","Words that frequently occurred in one's Facebook data revealed the things or issues they paid closer attention to, the words they got accustomed to use but were unaware of, or their daily-life surroundings.",
79,5042417,"If the believer can lose his/her salvation upon committing a sin, then <<< he/she >>> must need be Born Again for the second time.","If the believer can lose their salvation upon committing a sin, then they must need be Born Again for the second time.",
80,5142168,"It is far better to help out with such a worthy cause, unfortunately i also know people who have had to come to terms with cancer and other horrible diseases i have also overheard on the street garbage like ' <<< he/she >>> deserved it'.","It is far better to help out with such a worthy cause, but unfortunately I also know people who have had to come to terms with cancer and other horrible diseases; I have also overheard on the street garbage like 'they deserved it'.",
81,4019584,Here the adolescent is placed in a position that/IN he/she is not properly suited for or is placed in a position that/IN <<< he/she >>> would not have chosen for him/herself .,Here the adolescent is placed in a position that they are not properly suited for or is placed in a position that they would not have chosen for themself.,
82,5196405,"If the accountant did that, <<< he/she >>> should have realized there would be investment income and included that in some tax return, either the fund's or whoever was managing the fund.","If the accountant did that, they should have realized there would be investment income and included that in some tax return, either the fund's or whoever was managing the fund.",
83,5180896,"If your candidate is truly qualified for the job , <<< he/she >>> should be able to answer some basic questions about the line of work they 'll be doing.","If your candidate is truly qualified for the job, they should be able to answer some basic questions about the line of work they'll be doing.",
84,L16_1361,"The number of considered term candidates can be reduced by the user , if <<< he/she >>> submits a list of lemmas of stop words .","The number of considered term candidates can be reduced by the user, if they submit a list of lemmas of stop words.",
85,P11_2058,This will allow the computational model to accurately predict the responses of a new listener even if <<< he/she >>> changes her backchannel patterns in the middle of the interaction . ,This will allow the computational model to accurately predict the responses of a new listener even if they change their backchannel patterns in the middle of the interaction.,
86,5026577,Which part do you think your partner needs to improve on if he/she had a chance to have this conversation again ?,Which part do you think your partner needs to improve on if they had a chance to have this conversation again? ,
87,2022_udfestbr_1_6," For example : if a user wanted to search for two consecutive words with specific part-of-speech tags in a treebank , <<< he/she >>> would not be able to do it easily , thanks to the fact that/IN treebanks are formatted in a table-like manner and that/IN the available search tools are not straightforward to use or to install .","For example: if a user wanted to search for two consecutive words with specific part-of-speech tags in a treebank, they would not be able to do it easily, thanks to the fact that treebanks are formatted in a table-like manner and that the available search tools are not straightforward to use or to install.",
88,5145903,It is more his/her cultural understanding based in the world <<< he/she >>> grew up in.,It is more their cultural understanding based in the world they grew up in.,
89,5197767,"Unless one trusts Him as his/her Savior for the forgiveness of his/her sins , <<< he/she >>> will perish eternally.","Unless one trusts Him as their Savior for the forgiveness of their sins, they will perish eternally.",
90,P87_1005,"If the user later wants to make changes to an IRule , <<< he/she >>> may directly edit it .","If the user later wants to make changes to an IRule, they may directly edit it.",
91,5205793,At least the Private knows a bit about what <<< he/she >>> is talking about.,At least the Private knows a bit about what they are talking about.,
92,4012695,"As a reader begins processing a literary text , <<< he/she >>> relates knowledge structures to textual inputs and develops the first hypothesis on meaning .","As a reader begins processing a literary text, they relate knowledge structures to textual inputs and develop the first hypothesis on meaning.",
93,W12_4805," Authors can write English sentences , as <<< he/she >>> does on a regular editor . ","Authors can write English sentences, as they do on a regular editor.",
94,5111028,"Do <<< he/she >>> supports the things in my life, my goals or do they tear me down?","Do they support the things in my life, my goals or do they tear me down?",
95,4089274, The old is to be catered for whether <<< he/she >>> has a child or not . ,The old are to be catered for whether they have a child or not.,
96,W12_1621," Once the matcher believes that <<< he/she >>> correctly acquires the name of an target object , he/she will record the name by mouseclicking on the target and repeating the name .","Once the matcher believes that they correctly acquire the name of a target object, they will record the name by mouseclicking on the target and repeating the name.",
97,5037143,"The final steps of this how-to may take several nights,  however, you 'll find that if you 're consistent, your child is getting up less and less frequently each night until <<< he/she >>> understands the new rule is there to stay.","The final steps of this how-to may take several nights; however, you'll find that if you're consistent, your child is getting up less and less frequently each night until they understand the new rule is there to stay.",
98,R13_1065," A request is a speech act whereby a requester conveys to a requestee that/IN <<< he/she >>> wants the requestee to perform an act which is for the benefit of the requester ( Trosborg , 1995 ) .","A request is a speech act whereby a requester conveys to a requestee that they want the requestee to perform an act which is for the benefit of the requester (Trosborg, 1995).",
99,5145360,"If <<< he/she >>> offers to strap you in place, take him/her up on the offer.","If they offer to strap you in place, take them up on the offer.",
100,4124917,"Hopefully, <<< he/she >>> will be a-OK.","Hopefully, they will be a-OK.",
101,P15_2107,"The annotator was required to check the background of each recipient ( e. g. the recipient ' s position in the company at the time , his/her department information and the projects <<< he/she >>> was involved in if these information were available online ) and judge the relationship between the email ' s contacts before annotation ( e. g. if the contact is a family member or a close friend of the recipient ) .","The annotator was required to check the background of each recipient (e. g. the recipient's position in the company at the time, their department information and the projects they were involved in if these information were available online) and judge the relationship between the email's contacts before annotation (e.g. if the contact is a family member or a close friend of the recipient).",
102,5137313,This means that the income of a person is not simply the income <<< he/she >>> earns in the market or the transfers he/she gets from government but is a share of all the income that flows to all members of his/her household divided equally among all household members including children to the .5 power (square root of number of persons in household).,This means that the income of a person is not simply the income they earn in the market or the transfers they get from government but is a share of all the income that flows to all members of their household divided equally among all household members including children to the .5 power (square root of number of persons in household).,
103,4156138,The instructions included screen shots showing exactly what the student would see during the download and which options <<< he/she >>> should click on during the process .,The instructions included screen shots showing exactly what the student would see during the download and which options they should click on during the process.,
104,5197926,These times offer an opportunity for you start a conversation and get to know your teen as <<< he/she >>> becomes the person he/she is going to be.,These times offer an opportunity for you to start a conversation and get to know your teen as they become the person they are going to be.,
105,1014220,"The familiar features of Robertyne appeared as if <<< he/she >>> were actually looking at him through a window, though Wilyam suspected that Robertyne had actually ceased to exist some time before, and he was really speaking directly to the inexplicable presence that seemed to animate the quantum foam.","The familiar features of Robertyne appeared as if they were actually looking at him through a window, though Wilyam suspected that Robertyne had actually ceased to exist some time before, and he was really speaking directly to the inexplicable presence that seemed to animate the quantum foam.",
106,5057185,Can incriminating statements by a suspect be considered admissible evidence if <<< he/she >>> was not informed of his/her rights?,Can incriminating statements by a suspect be considered admissible evidence if they were not informed of their rights?,
107,2022_udfestbr_1_6,"Then , <<< he/she >>> can go back to the results page by clicking on the button labeled "" "" Go back "" "" ( also at the bottom right ) .","Then, they can go back to the results page by clicking on the button labeled ""Go back"" (also at the bottom right).",
108,W97_0809,"For example , if a user is interested in finding all DCR Inc. related jobs , <<< he/she >>> might want to hold the first entity as specific as that/IN in rule 1 in figure 3 , and generalize the third entity .","For example, if a user is interested in finding all DCR Inc. related jobs, they might want to hold the first entity as specific as that in rule 1 in figure 3, and generalize the third entity.",
109,5146217,"Then another important option is for the desktop taskbar to have an option to pin to start screen, like there is an option to pin to the taskbar, so then the user could have it on the start screen if <<< he/she >>> wanted it instantly accessible.","Then another important option is for the desktop taskbar to have an option to pin to start screen, like there is an option to pin to the taskbar, so then the user could have it on the start screen if they wanted it instantly accessible.",
110,5105815,"Almost everyone can remember losing his or her virginity, and most writers can remember the first book <<< he/she >>> put down thinking: I can do better than this.","Almost everyone can remember losing their virginity, and most writers can remember the first book they put down thinking: I can do better than this.",
111,5170364,"The message this biased media reporting is sending to future victims of domestic violence is that if you fight back against your abuser and <<< he/she >>> dies, the possibility exists that you could be charged with murder.","The message this biased media reporting is sending to future victims of domestic violence is that if you fight back against your abuser and they die, the possibility exists that you could be charged with murder.",
112,E17_1026, Each annotator is a very proficient English speaker and <<< he/she >>> has a different level of NLP background and topic knowledge from the others .,Each annotator is a very proficient English speaker and they have a different level of NLP background and topic knowledge from the others.,
113,4020447,"If a participant fell or received an infraction on the initial climb , <<< he/she >>> was placed on a less difficult route .","If a participant fell or received an infraction on the initial climb, they were placed on a less difficult route.",
114,C80_1081,"After the revision , <<< he/she >>> can check whether the input record contain no more errors , by calling the DTV .","After the revision, they can check whether the input record contains no more errors by calling the DTV.",
115,5195713,"In other words, what if someone calls Glen Beck during his show, pretend to be tea bagger to get on, then quickly say the news before <<< he/she >>> is cut off?","In other words, what if someone calls Glen Beck during his show, pretend to be tea bagger to get on, then quickly say the news before they are cut off?",
116,5257873,You'll be out as soon as <<< he/she >>> is bored with you.,You'll be out as soon as they are bored with you.,
117,W13_2115,"For instance , a summary that/IN talks about the student ' s performance , the number of lectures that/IN <<< he/she >>> attended , potential health problems and revision done can be translated into the following ngram : start , marks , lectures attended , health issues , revision , end .","For instance, a summary that talks about the student's performance, the number of lectures that they attended, potential health problems and revision done can be translated into the following ngram: start, marks, lectures attended, health issues, revision, end.",
118,5027719,"What happens when things go too far, though, and a HNAP becomes incapacitated by doubt and so vulnerable that <<< he/she >>> completely loses their confidence?","What happens when things go too far, though, and a HNAP becomes incapacitated by doubt and so vulnerable that they completely lose their confidence?",
119,5102087,"When a victim of bullying attempts to get help , <<< he/she >>> is frequently betrayed by the authorities or told "" no one likes a tattle-tale "".","When a victim of bullying attempts to get help, they are frequently betrayed by the authorities or told ""no one likes a tattle-tale"".",
120,5092747,"On the contrary, the more time that has passed since a user started using Facebook, the more frequently <<< he/she >>> makes status updates, uses the 'like' button, comments on friends' content and tags friends in photos.","On the contrary, the more time that has passed since a user started using Facebook, the more frequently they make status updates, use the 'like' button, comment on friends' content, and tag friends in photos.",
121,4005271,"For instance , an athlete may receive instructions from the coach and may not fully understand them , thus <<< he/she >>> will be inclined to ask one of their peer leaders for clarification .","For instance, an athlete may receive instructions from the coach and may not fully understand them, thus they will be inclined to ask one of their peer leaders for clarification.",
122,5077399,"However, if the child 's great need for admiration is not met, for his/her looks, intelligence or achievements, <<< he/she >>> falls into severe depression.","However, if the child's great need for admiration is not met, for their looks, intelligence, or achievements, they fall into severe depression.",
123,5192724,That may cause your H to resent the child; which is totally unfair to the child as <<< he/she >>> had nothing to do with your shenanigans!,"That may cause your H to resent the child, which is totally unfair to the child as they had nothing to do with your shenanigans!",
124,5077955,You both shared good memories together in the time you were together and that is why <<< he/she >>> is probably missing you no matter what.,You both shared good memories together in the time you were together and that is why they are probably missing you no matter what.,
